hospital_id,hpid,hospital_name,address,district,lat,lon,emergency_level_raw,emergency_level_code,current_emergency_level_raw,emergency_level_model,emergency_level_rank,hospital_type_raw,er_phone,representative_phone,er_open_static,is_designated_emergency_medical_institution,current_egen_present,current_egen_updated_at,current_egen_operationyn,current_egen_silson24_chk,or_candidate_active,source_primary,source_crosscheck,source_last_checked_at,source_work_dttm
A1100002,A1100002,건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),광진구,37.54084479467721,127.0721229093036,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2030-5555,1588-1533,true,true,true,20250729135059,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100039,A1100039,경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",송파구,37.496413213560785,127.12348793503202,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-3400-1300,02-3400-1114,true,true,true,20260122132610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100001,A1100001,경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),동대문구,37.5938765502235,127.05183223390303,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-958-8114,02-958-8114,true,true,true,20251203133147,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100014,A1100014,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",구로구,37.49211114525054,126.8847449363546,권역응급의료센터,G001,권역응급의료센터,regional_center,3,종합병원,02-2626-1550,02-2626-1114,true,true,true,20260311142633,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100026,A1100026,구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",구로구,37.49964578669388,126.86636039556485,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-2067-1515,02-2067-1500,true,true,true,20251224095445,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100052,A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",중구,37.56733955813183,127.00579539705473,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2276-2114,02-2260-7114,true,true,true,20260413095017,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1122033,A1122033,기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",서초구,37.482713030212,127.018063486739,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-570-1212,02-570-1234,true,true,true,20260423095819,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1126226,A1126226,낭만병원,서울특별시 동작구 동작대로 67 (사당동),동작구,37.4825469938281,126.981480681968,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,070-4917-5109,02-523-1119,true,false,true,20260504090610,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100048,A1100048,노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",노원구,37.636442927386746,127.07000281991385,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-970-8282,02-970-8000,true,true,true,20250813105258,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100044,A1100044,녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),중랑구,37.58362083896108,127.08605546969358,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-490-2113,02-490-2000,true,true,true,20260513134036,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:07.000Z
A1100037,A1100037,대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",영등포구,37.49068925436284,126.90716948025135,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-829-9129,02-829-9000,true,true,true,20260406161409,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:08.000Z
A1123234,A1123234,더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",강남구,37.5009902618151,127.050967336445,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,1661-1177,02-1661-1177,true,false,true,20250715105031,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:08.000Z
A1100024,A1100024,명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",영등포구,37.4938507104387,126.89925446922592,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-829-7800,02-1899-1475,true,true,true,20250929091845,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:09.000Z
A1100046,A1100046,미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),강서구,37.55225379358291,126.83602535156236,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-2007-1118,15882701,true,false,true,20260410154539,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:09.000Z
A1100036,A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",강서구,37.556940892893586,126.85094950539181,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-2620-0119,1577-7582,true,true,true,20250730132608,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100148,A1100148,사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동, )",관악구,37.4796247835746,126.956285774259,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-880-0119,02-880-0114,true,false,true,20260511173200,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100010,A1100010,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",강남구,37.48851613490445,127.08668245340024,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-3410-2060,02-3410-2114,true,true,true,20260430093101,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100021,A1100021,삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),동대문구,37.587992001305395,127.0653288266823,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2210-3566,02-2244-0191,true,true,true,20260430093149,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100017,A1100017,서울대학교병원,서울특별시 종로구 대학로 101 (연건동),종로구,37.57966608924356,126.99896308412191,권역응급의료센터,G001,권역응급의료센터,regional_center,3,종합병원,02-2072-2475,02-1588-5700,true,true,true,20260504090610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1107402,A1107402,서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),종로구,37.5804523853297,126.997196437908,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,치과병원,02-6256-3362,1522-2700,true,false,true,20250708093727,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100050,A1100050,서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",동대문구,37.58419129209865,127.04983805981972,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-966-1616,02-966-1616,true,true,true,20250409092719,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:10.000Z
A1100029,A1100029,서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",종로구,37.56715536263689,126.96699861289684,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-2002-8888,02-2002-8000,true,true,true,20250420123750,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100022,A1100022,서울특별시동부병원,서울특별시 동대문구 무학로 124 (용두동),동대문구,37.57539886464885,127.03140257525507,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-920-9119,02-920-9114,true,true,true,20250929133709,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100040,A1100040,서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),동작구,37.4937184009319,126.92404876254014,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-870-2119,02-870-2114,true,true,true,20260504090610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100223,A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),양천구,37.51201935883779,126.8331299304024,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-6300-9129,1566-6688,true,true,true,20260401131326,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100035,A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),중랑구,37.61286931510163,127.0980910949257,권역응급의료센터,G001,권역응급의료센터,regional_center,3,종합병원,02-2276-7000,02-2276-7000,true,true,true,20260513134036,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100172,A1100172,서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",강북구,37.6402559204261,127.028504374531,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-902-9119,02-1588-6853,true,false,true,20260511173200,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100028,A1100028,성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),강동구,37.53598408220376,127.13526354631517,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2224-2358,02-2224-2114,true,true,true,20260511173200,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100054,A1100054,성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",영등포구,37.51205044957338,126.92236733617031,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-840-7115,02-840-7114,true,true,true,20251203133147,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100032,A1100032,세란병원,서울특별시 종로구 통일로 256 (무악동),종로구,37.57534016994642,126.9577071892358,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-737-0181,02-737-0181,true,true,true,20250903090258,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100004,A1100004,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59 (한남동),용산구,37.53384172231443,127.00441798640304,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-709-9117,02-709-9114,true,true,true,20260401131326,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100063,A1100063,신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",마포구,37.5525892651719,126.933734666413,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-337-7582,02-337-7582,true,false,true,20240807105408,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100045,A1100045,씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",영등포구,37.518848328762154,126.90367981067837,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,070-4698-7811,02-2678-0001,true,true,true,20260121140101,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:11.000Z
A1100015,A1100015,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",강남구,37.492806984645476,127.04631254186798,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2019-3333,02-2019-3114,true,true,true,20260318105758,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:12.000Z
A1100007,A1100007,연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),서대문구,37.56211711412639,126.94082769649863,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-2227-7777,02-2228-0114,true,true,true,20260122132610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:12.000Z
A1120432,A1120432,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",서초구,37.4862288033541,127.004386280268,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,070-4875-2619,02-587-8875,true,false,true,20260423095819,Y,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100042,A1100042,우리들병원,서울특별시 강서구 하늘길 70 (과해동),강서구,37.56199597494205,126.7963653099318,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-2660-7057,02-2660-7500,true,false,true,20241115112706,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100152,A1100152,은평연세병원,서울특별시 은평구 연서로 177 (갈현동),은평구,37.6146922208583,126.917472218592,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-388-0119,02-388-8114,true,false,true,20240807105631,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100025,A1100025,의료법인동신의료재단동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",서대문구,37.58110428173239,126.93658306608872,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-396-9161,02-396-9161,true,true,true,20250929104058,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100041,A1100041,의료법인서울효천의료재단에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",관악구,37.48427507045319,126.93253922577287,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,070-4665-9119,02-1877-8875,true,true,true,20260511173200,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100030,A1100030,의료법인성화의료재단대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",강북구,37.63547043209498,127.02267251878474,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-905-9110,02-903-3232,true,false,true,20260511173200,N,N,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100255,A1100255,의료법인인봉의료재단영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),영등포구,37.526858089517,126.89561402986,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,병원,02-2632-0013,02-2635-2809,true,false,true,20240826104344,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100023,A1100023,의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),은평구,37.62079154435882,126.91955399169245,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-383-0129,02-350-3300,true,true,true,20251203133147,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100075,A1100075,의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",중랑구,37.60067564592665,127.1090292210168,지역응급의료기관,G007,지역응급의료기관,emergency_institution_ok,1,종합병원,02-490-8880,02-437-5011,true,true,true,20260325155353,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100020,A1100020,의료법인한전의료재단한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",도봉구,37.64611570419094,127.02902417950423,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-901-3119,02-901-3114,true,true,true,20260504090610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:13.000Z
A1100005,A1100005,이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),양천구,37.53654282637804,126.8862159683056,권역응급의료센터,G001,권역응급의료센터,regional_center,3,종합병원,02-2650-5911,02-2650-5114,true,true,true,20260507083358,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1120796,A1120796,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",강서구,37.557261149,126.8362659275,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-6986-5119,1522-7000,true,true,true,20260428133157,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1100016,A1100016,인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",노원구,37.6485812672986,127.06311619032103,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-950-1119,02-950-1114,true,true,true,20260429140801,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1122381,A1122381,재단법인베스티안재단베스티안서울병원,서울특별시 성동구 왕십리로 382 (하왕십리동),성동구,37.5651102845783,127.028019796271,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-6211-7965,02-3452-7575,true,false,true,20251203133147,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1100009,A1100009,재단법인아산사회복지재단서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",송파구,37.526563966361216,127.10823825113607,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-3010-3333,02-3010-3114,true,true,true,20260313172459,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1100003,A1100003,중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),동작구,37.50707428493414,126.96079378447554,지역응급의료센터,G006,지역응급의료센터,local_center_or_above,2,종합병원,02-6299-1338,1800-1114,true,true,true,20260504090610,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
A1100057,A1100057,차의과학대학교강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",강남구,37.506800025850865,127.03466865188072,응급실운영신고기관,G009,응급의료기관 외의 의료기관(응급의료시설),emergency_institution_ok,1,종합병원,02-3468-3060,02-3468-3000,true,false,true,20260311142633,N,Y,true,seoul_open_data_OA-20338_TvEmgcHospitalInfo,e-gen_public_search_backend,2026-05-18T13:50:44.710Z,2026-05-07T05:53:14.000Z
